Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Total_Productivity_Hours
1,6.90,3.80,8.70,2.80,1.80,2.99,Moderate,15.30
2,5.30,3.50,8.00,4.20,3.00,2.75,Low,16.00
3,5.10,3.90,9.20,1.20,4.60,2.67,Low,14.80
4,6.50,2.10,7.20,1.70,6.50,2.88,Moderate,16.80
5,8.10,0.60,6.50,2.20,6.60,3.51,High,17.50
6,6.00,2.10,8.00,0.30,7.60,2.85,Moderate,16.00
7,8.00,0.70,5.30,5.70,4.30,3.08,High,18.70
8,8.40,1.80,5.60,3.00,5.20,3.20,High,18.40
9,5.20,3.60,6.30,4.00,4.90,2.82,Low,17.70
10,7.70,0.70,9.80,4.50,1.30,2.76,Moderate,14.20
11,9.70,3.60,8.00,2.50,0.20,3.43,High,16.00
12,6.90,1.10,9.10,2.10,4.80,2.97,Moderate,14.90
13,6.40,2.20,5.70,4.80,4.90,2.82,High,18.30
14,5.00,3.30,8.50,4.40,2.80,2.87,Low,15.50
15,8.90,0.30,6.80,0.70,7.30,3.40,High,17.20
16,6.70,0.30,6.60,2.00,8.40,3.20,Moderate,17.40
17,8.60,2.60,9.40,1.60,1.80,3.36,High,14.60
18,8.80,2.20,8.90,2.00,2.10,3.19,High,15.10
19,7.60,1.70,5.10,0.60,9.00,3.16,High,18.90
20,6.60,2.00,9.50,1.50,4.40,2.93,Moderate,14.50
21,7.10,3.00,6.10,0.50,7.30,2.90,Moderate,17.90
22,9.60,3.20,8.20,2.60,0.40,3.34,High,15.80
23,9.00,0.70,9.50,2.60,2.20,3.21,High,14.50
24,6.10,1.70,9.10,5.20,1.90,2.85,Moderate,14.90
25,5.00,2.00,7.10,1.30,8.60,2.68,Low,16.90
26,9.70,1.30,7.60,3.80,1.60,3.29,High,16.40
27,6.80,3.90,9.80,0.90,2.60,2.64,Moderate,14.20
28,6.40,0.10,8.00,3.00,6.50,2.95,Moderate,16.00
29,5.30,1.10,9.50,1.40,6.70,2.79,Low,14.50
30,9.90,1.00,8.40,3.60,1.10,3.25,High,15.60
31,6.20,2.90,6.80,3.80,4.30,3.05,Moderate,17.20
32,5.50,3.30,6.60,1.10,7.50,3.26,Low,17.40
33,5.20,2.40,8.40,0.10,7.90,2.47,Low,15.60
34,8.20,0.70,8.50,2.30,4.30,3.24,High,15.50
35,9.70,0.60,6.70,0.70,6.30,3.62,High,17.30
36,9.10,2.20,7.60,1.20,3.90,3.12,High,16.40
37,5.50,3.60,9.50,3.40,2.00,2.58,Low,14.50
38,8.60,3.60,9.40,1.90,0.50,3.03,High,14.60
39,8.20,0.30,5.80,5.40,4.30,3.29,High,18.20
40,5.00,0.60,7.70,4.20,6.50,2.61,Low,16.30
41,8.30,0.90,8.60,1.40,4.80,3.48,High,15.40
42,8.20,3.40,8.30,2.30,1.80,3.07,High,15.70
43,5.50,1.50,6.30,1.50,9.20,2.81,Low,17.70
44,9.50,2.50,9.00,1.50,1.50,3.49,High,15.00
45,7.90,2.00,6.00,4.30,3.80,2.97,Moderate,18.00
46,9.70,3.80,9.60,0.30,0.60,3.55,High,14.40
47,5.10,3.70,7.10,5.80,2.30,2.60,Low,16.90
48,9.30,1.30,5.80,3.30,4.30,3.09,High,18.20
49,9.70,2.80,7.90,0.30,3.30,3.47,High,16.10
50,9.40,3.00,8.50,2.20,0.90,3.18,High,15.50
51,6.80,1.20,9.00,4.90,2.10,3.12,Moderate,15.00
52,9.00,2.60,8.50,3.10,0.80,4.00,High,15.50
53,9.50,1.40,6.90,0.60,5.60,3.33,High,17.10
54,7.30,2.20,6.40,3.50,4.60,3.11,Moderate,17.60
55,5.20,0.10,9.10,2.20,7.40,2.79,Low,14.90
56,8.80,0.90,8.10,0.50,5.70,3.10,High,15.90
57,5.30,2.10,7.70,3.80,5.10,2.39,Low,16.30
58,9.00,1.10,7.20,0.50,6.20,3.39,High,16.80
59,5.10,3.90,9.20,4.00,1.80,2.52,Low,14.80
60,5.80,1.00,7.70,4.30,5.20,2.80,Low,16.30
61,8.30,1.10,9.80,3.50,1.30,3.67,High,14.20
62,7.10,1.00,6.80,4.50,4.60,3.27,Moderate,17.20
63,5.10,0.50,5.20,0.20,13.00,2.85,High,18.80
64,7.40,0.40,7.50,2.80,5.90,3.26,Moderate,16.50
65,5.90,1.70,7.00,3.70,5.70,2.80,Low,17.00
66,6.90,2.50,7.50,5.10,2.00,3.06,Moderate,16.50
67,8.30,0.70,5.40,3.90,5.70,3.26,High,18.60
68,9.70,2.30,6.90,3.30,1.80,3.38,High,17.10
69,7.30,2.20,9.70,1.90,2.90,3.15,Moderate,14.30
